Date,r_net,equity
2024-02-21,-0.0006666667,0.9993333
2024-02-22,-0.0028272383,0.996508
2024-02-23,-0.004104271,0.99241805
2024-02-26,0.001655751,0.9940612
2024-02-27,-0.007075166,0.987028
2024-02-28,0.005552506,0.99250853
2024-02-29,0.01116595,1.0035908
2024-03-01,-0.009127108,0.99443096
2024-03-04,-0.0035255235,0.9909251
2024-03-05,-0.012568439,0.97847074
2024-03-06,0.020093245,0.99813133
2024-03-07,0.0030788984,1.0012045
2024-03-08,0.009956959,1.0111735
2024-03-11,0.03272379,1.0442629
2024-03-12,-0.008091511,1.0358132
2024-03-13,0.018590368,1.0550693
2024-03-14,-0.008036078,1.0465907
2024-03-15,0.0051897927,1.0520222
2024-03-18,-0.0051950505,1.046557
2024-03-19,0.00093810324,1.0475386
2024-03-20,0.0,1.0475386
2024-03-21,-0.00033333336,1.0471895
2024-03-22,-0.003100168,1.043943
2024-03-25,-0.008564721,1.035002
2024-03-26,-0.0017587617,1.0331817
2024-03-27,-0.004356547,1.0286806
2024-03-28,-0.0009741787,1.0276785
2024-04-01,-0.006817887,1.0206718
2024-04-02,-0.00033333336,1.0203316
2024-04-03,-0.011461619,1.008637
2024-04-04,0.0074935947,1.0161953
2024-04-05,-0.00626382,1.0098301
2024-04-08,-0.00033333336,1.0094936
2024-04-09,0.005580528,1.0151271
2024-04-10,0.017043266,1.0324281
2024-04-11,-0.0067299106,1.02548
2024-04-12,-0.022406364,1.0025028
2024-04-15,0.005904706,1.0084223
2024-04-16,-0.01914082,0.9891202
2024-04-17,-0.0025714596,0.9865767
2024-04-18,-0.042332545,0.9448124
2024-04-19,0.002900317,0.94755274
2024-04-22,0.019469952,0.9660016
2024-04-23,0.010771976,0.97640735
2024-04-24,-0.0006666667,0.9757564
2024-04-25,0.025999798,1.0011258
2024-04-26,-0.0005831186,1.000542
2024-04-29,-0.011983325,0.9885522
2024-04-30,-0.010512476,0.9781601
2024-05-01,0.020268051,0.99798554
2024-05-02,0.030816035,1.0287396
2024-05-03,-0.01594927,1.012332
2024-05-06,0.006336671,1.0187469
2024-05-07,0.0008107163,1.0195727
2024-05-08,-0.005026663,1.0144477
2024-05-09,0.0012846151,1.0157509
2024-05-10,0.007480717,1.0233494
2024-05-13,-0.0041954974,1.019056
2024-05-14,-0.00033333336,1.0187163
2024-05-15,-0.00033333336,1.0183768
2024-05-16,0.0066412645,1.0251402
2024-05-17,0.007627089,1.032959
2024-05-20,0.0017979032,1.0348161
2024-05-21,-0.00033333336,1.0344713
2024-05-22,-0.00033333336,1.0341265
2024-05-23,0.0051960438,1.0395
2024-05-24,1.755729e-05,1.0395182
2024-05-28,0.0,1.0395182
2024-05-29,0.0125552965,1.0525696
2024-05-30,-0.002615435,1.0498167
2024-05-31,0.014358676,1.0648906
2024-06-03,0.0020555349,1.0670795
2024-06-04,-0.017518597,1.0483859
2024-06-05,-0.0026988424,1.0455564
2024-06-06,0.0041003847,1.0498437
2024-06-07,0.001828149,1.0517629
